month	date	week	attendance
1 	1 	Sun	17979 
1 	2 	Mon	12373 
1 	3 	Tue	1602 
1 	4 	Wed	2443 
1 	5 	Thu	1881 
1 	6 	Fri	2019 
1 	7 	Sat	7918 
1 	8 	Sun	6658 
1 	9 	Mon	1273 
1 	10 	Tue	1875 
1 	11 	Wed	2127 
1 	12 	Thu	1909 
1 	13 	Fri	523 
1 	14 	Sat	2852 
1 	15 	Sun	4644 
1 	16 	Mon	1686 
1 	17 	Tue	5556 
1 	18 	Wed	3847 
1 	19 	Thu	5794 
1 	20 	Fri	4557 
1 	21 	Sat	7479 
1 	22 	Sun	10258 
1 	23 	Mon	5505 
1 	24 	Tue	7579 
1 	25 	Wed	5971 
1 	26 	Thu	6316 
1 	27 	Fri	0 
1 	28 	Sat	19644 
1 	29 	Sun	16970 
1 	30 	Mon	17259 
1 	31 	Tue	20383 
2 	1 	Wed	17585 
2 	2 	Thu	14657 
2 	3 	Fri	18948 
2 	4 	Sat	16731 
2 	5 	Sun	14071 
2 	6 	Mon	9104 
2 	7 	Tue	12751 
2 	8 	Wed	12325 
2 	9 	Thu	5844 
2 	10 	Fri	7103 
2 	11 	Sat	7775 
2 	12 	Sun	8387 
2 	13 	Mon	2474 
2 	14 	Tue	3407 
2 	15 	Wed	3582 
2 	16 	Thu	2871 
2 	17 	Fri	3365 
2 	18 	Sat	7533 
2 	19 	Sun	11468 
2 	20 	Mon	1736 
2 	21 	Tue	2183 
2 	22 	Wed	978 
2 	23 	Thu	1239 
2 	24 	Fri	592 
2 	25 	Sat	1967 
2 	26 	Sun	6559 
2 	27 	Mon	17333 
2 	28 	Tue	8695 
3 	1 	Wed	1853 
3 	2 	Thu	1803 
3 	3 	Fri	2239 
3 	4 	Sat	12559 
3 	5 	Sun	11594 
3 	6 	Mon	748 
3 	7 	Tue	1366 
3 	8 	Wed	567 
3 	9 	Thu	3355 
3 	10 	Fri	950 
3 	11 	Sat	10636 
3 	12 	Sun	12136 
3 	13 	Mon	1470 
3 	14 	Tue	1854 
3 	15 	Wed	1981 
3 	16 	Thu	1906 
3 	17 	Fri	2591 
3 	18 	Sat	11582 
3 	19 	Sun	7560 
3 	20 	Mon	1845 
3 	21 	Tue	4071 
3 	22 	Wed	2716 
3 	23 	Thu	3632 
3 	24 	Fri	2992 
3 	25 	Sat	5102 
3 	26 	Sun	3270 
3 	27 	Mon	2464 
3 	28 	Tue	3216 
3 	29 	Wed	4020 
3 	30 	Thu	3723 
3 	31 	Fri	3666 
4 	1 	Sat	10717 
4 	2 	Sun	21335 
4 	3 	Mon	25394 
4 	4 	Tue	30582 
4 	5 	Wed	4889 
4 	6 	Thu	3159 
4 	7 	Fri	2899 
4 	8 	Sat	12175 
4 	9 	Sun	10572 
4 	10 	Mon	2115 
4 	11 	Tue	1365 
4 	12 	Wed	1693 
4 	13 	Thu	2865 
4 	14 	Fri	3056 
4 	15 	Sat	10391 
4 	16 	Sun	10489 
4 	17 	Mon	2539 
4 	18 	Tue	3042 
4 	19 	Wed	2454 
4 	20 	Thu	3197 
4 	21 	Fri	4025 
4 	22 	Sat	3523 
4 	23 	Sun	10806 
4 	24 	Mon	2133 
4 	25 	Tue	5003 
4 	26 	Wed	2548 
4 	27 	Thu	2802 
4 	28 	Fri	4073 
4 	29 	Sat	12537 
4 	30 	Sun	14616 
5 	1 	Mon	13081 
5 	2 	Tue	3074 
5 	3 	Wed	2030 
5 	4 	Thu	3418 
5 	5 	Fri	3016 
5 	6 	Sat	8467 
5 	7 	Sun	9429 
5 	8 	Mon	3295 
5 	9 	Tue	2413 
5 	10 	Wed	2317 
5 	11 	Thu	2888 
5 	12 	Fri	4063 
5 	13 	Sat	5660 
5 	14 	Sun	8669 
5 	15 	Mon	2172 
5 	16 	Tue	1190 
5 	17 	Wed	2507 
5 	18 	Thu	2238 
5 	19 	Fri	2889 
5 	20 	Sat	13755 
5 	21 	Sun	11936 
5 	22 	Mon	2314 
5 	23 	Tue	2835 
5 	24 	Wed	2221 
5 	25 	Thu	1555 
5 	26 	Fri	3429 
5 	27 	Sat	7549 
5 	28 	Sun	20088 
5 	29 	Mon	21113 
5 	30 	Tue	9891 
5 	31 	Wed	2269 
6 	1 	Thu	3308 
6 	2 	Fri	561 
6 	3 	Sat	1452 
6 	4 	Sun	3456 
6 	5 	Mon	1369 
6 	6 	Tue	2744 
6 	7 	Wed	2687 
6 	8 	Thu	3031 
6 	9 	Fri	3449 
6 	10 	Sat	8813 
6 	11 	Sun	7204 
6 	12 	Mon	2248 
6 	13 	Tue	2098 
6 	14 	Wed	606 
6 	15 	Thu	469 
6 	16 	Fri	766 
6 	17 	Sat	1352 
6 	18 	Sun	2299 
6 	19 	Mon	1499 
6 	20 	Tue	2784 
6 	21 	Wed	2892 
6 	22 	Thu	2656 
6 	23 	Fri	3666 
6 	24 	Sat	9753 
6 	25 	Sun	9251 
6 	26 	Mon	3449 
6 	27 	Tue	5273 
6 	28 	Wed	3606 
6 	29 	Thu	3943 
6 	30 	Fri	4301 
7 	1 	Sat	6903 
7 	2 	Sun	9855 
7 	3 	Mon	4370 
7 	4 	Tue	5034 
7 	5 	Wed	5441 
7 	6 	Thu	5476 
7 	7 	Fri	5974 
7 	8 	Sat	10924 
7 	9 	Sun	9907 
7 	10 	Mon	4103 
7 	11 	Tue	5685 
7 	12 	Wed	5573 
7 	13 	Thu	6457 
7 	14 	Fri	6929 
7 	15 	Sat	11622 
7 	16 	Sun	11697 
7 	17 	Mon	6048 
7 	18 	Tue	6123 
7 	19 	Wed	6034 
7 	20 	Thu	6207 
7 	21 	Fri	6383 
7 	22 	Sat	11737 
7 	23 	Sun	11111 
7 	24 	Mon	5694 
7 	25 	Tue	6964 
7 	26 	Wed	7252 
7 	27 	Thu	7743 
7 	28 	Fri	7149 
7 	29 	Sat	3401 
7 	30 	Sun	0 
7 	31 	Mon	4176 
8 	1 	Tue	6912 
8 	2 	Wed	4480 
8 	3 	Thu	6489 
8 	4 	Fri	7184 
8 	5 	Sat	11780 
8 	6 	Sun	10471 
8 	7 	Mon	5147 
8 	8 	Tue	5315 
8 	9 	Wed	5828 
8 	10 	Thu	6396 
8 	11 	Fri	6782 
8 	12 	Sat	12748 
8 	13 	Sun	11759 
8 	14 	Mon	5727 
8 	15 	Tue	6751 
8 	16 	Wed	6277 
8 	17 	Thu	6809 
8 	18 	Fri	7983 
8 	19 	Sat	14655 
8 	20 	Sun	12391 
8 	21 	Mon	6650 
8 	22 	Tue	7201 
8 	23 	Wed	7278 
8 	24 	Thu	7049 
8 	25 	Fri	7873 
8 	26 	Sat	13186 
8 	27 	Sun	12881 
8 	28 	Mon	8491 
8 	29 	Tue	6202 
8 	30 	Wed	2416 
8 	31 	Thu	1688 
9 	1 	Fri	896 
9 	2 	Sat	7097 
9 	3 	Sun	3099 
9 	4 	Mon	1539 
9 	5 	Tue	1491 
9 	6 	Wed	1982 
9 	7 	Thu	1664 
9 	8 	Fri	1803 
9 	9 	Sat	10440 
9 	10 	Sun	10952 
9 	11 	Mon	1502 
9 	12 	Tue	1659 
9 	13 	Wed	281 
9 	14 	Thu	616 
9 	15 	Fri	2431 
9 	16 	Sat	12210 
9 	17 	Sun	12261 
9 	18 	Mon	1578 
9 	19 	Tue	1645 
9 	20 	Wed	1589 
9 	21 	Thu	1359 
9 	22 	Fri	1943 
9 	23 	Sat	10369 
9 	24 	Sun	10097 
9 	25 	Mon	1188 
9 	26 	Tue	1314 
9 	27 	Wed	1322 
9 	28 	Thu	1826 
9 	29 	Fri	1787 
9 	30 	Sat	5958 
10 	1 	Sun	7652 
10 	2 	Mon	1372 
10 	3 	Tue	1394 
10 	4 	Wed	7075 
10 	5 	Thu	1847 
10 	6 	Fri	2508 
10 	7 	Sat	10914 
10 	8 	Sun	16639 
10 	9 	Mon	22326 
10 	10 	Tue	13203 
10 	11 	Wed	1773 
10 	12 	Thu	994 
10 	13 	Fri	523 
10 	14 	Sat	1552 
10 	15 	Sun	1851 
10 	16 	Mon	1879 
10 	17 	Tue	1529 
10 	18 	Wed	1215 
10 	19 	Thu	971 
10 	20 	Fri	1831 
10 	21 	Sat	5346 
10 	22 	Sun	12230 
10 	23 	Mon	2841 
10 	24 	Tue	2403 
10 	25 	Wed	2825 
10 	26 	Thu	2352 
